,July 2005 est. pop,2005 rank,ZIP code
Alabama,,,
Birmingham,"231,483",79,35203
Huntsville,"166,313",134,35813
Mobile,"191,544",112,36601
Montgomery,"200,127",97,36119
Alaska,,,
Anchorage,"275,043",68,99599
Arizona,,,
Chandler,"234,939",75,85225
Gilbert town,"173,989",127,85296
Glendale,"239,435",73,85302
Mesa,"442,780",41,85201
Peoria,"138,200",169,85381
Phoenix,"1,461,575",6,85026
Scottsdale,"226,013",80,85251
Tempe,"161,143",139,85282
Tucson,"515,526",32,85726
Arkansas,,,
Little Rock,"184,564",116,72202
California,,,
Anaheim,"331,804",55,92803
Antioch,"100,631",250,94509
Bakersfield,"295,536",61,93380
Berkeley,"100,744",249,94704
Burbank,"104,108",239,91505
Chula Vista,"210,497",90,91910
Concord,"123,252",191,94520
Corona,"149,387",151,91718
Costa Mesa,"109,830",218,92628
Daly City,"100,339",251,94015
Downey,"109,718",219,90241
El Monte,"122,513",193,91734
Elk Grove,"112,338",213,95624
Escondido,"134,085",175,92025
Fairfield,"104,476",236,94533
Fontana,"163,860",138,92335
Fremont,"200,468",96,94537
Fresno,"461,116",36,93706
Fullerton,"132,787",177,92834
Garden Grove,"166,075",136,92842
Glendale,"200,065",98,91205
Hayward,"140,293",165,94544
Huntington Beach,"194,457",105,92647
Inglewood,"114,467",207,90301
Irvine,"186,852",114,92619
Lancaster,"134,032",176,93534
Long Beach,"474,014",34,90802
Los Angeles,"3,844,829",2,90052
Modesto,"207,011",93,95350
Moreno Valley,"178,367",121,92553
Norwalk,"105,834",231,90650
Oakland,"395,274",44,94612
Oceanside,"166,108",135,92054
Ontario,"172,679",128,91761
Orange,"134,950",173,92863
Oxnard,"183,628",117,93030
Palmdale,"134,570",174,93550
Pasadena,"143,731",160,91103
Pomona,"153,787",144,91769
Rancho Cucamonga,"169,353",129,91729
Richmond,"102,186",246,94801
Riverside,"290,086",62,92507
Roseville,"105,940",230,95661
Sacramento,"456,441",37,95813
Salinas,"146,431",153,93907
San Bernardino,"198,550",100,92401
San Buenaventura (Ventura),"104,017",240,93001
San Diego,"1,255,540",8,92199
San Francisco,"739,426",14,94188
San Jose,"912,332",10,95101
Santa Ana,"340,368",54,92711
Santa Clara,"105,402",232,95050
Santa Clarita,"168,253",130,91355
Santa Rosa,"153,158",145,95402
Simi Valley,"118,687",198,93065
Stockton,"286,926",63,95208
Sunnyvale,"128,902",181,94086
Thousand Oaks,"124,359",189,91362
Torrance,"142,384",161,90503
Vallejo,"117,483",200,94590
Visalia,"108,669",222,93277
West Covina,"108,185",223,91793
Colorado,,,
Arvada,"103,966",241,80004
Aurora,"297,235",60,80017
Colorado Springs,"369,815",49,80903
Denver,"557,917",25,80202
Fort Collins,"128,026",185,80525
Lakewood,"140,671",164,80202
Pueblo,"103,495",242,81003
